HITid,AssignmentId,WorkerId,Category,Query,NumSelected,NumNRSelected,Reject
3SMIWMMK75LPRCIH6PYSNILNN7NWU5,39RP059MEM9HDLDRSYHBXENWWOQBMM,A35O5Z3ER74FBC," Crafts &amp; Hobbies"," drawing tutorials for kids",4,0,a
3087LXLJ7QW704K6ITA8UNBGCFTF0N,3B2X28YI31VFOISZ5IAU8IQA6OBB6C,A3MLUEOP3CCLXL," Nature"," deadliest volcano eruptions",3,0,a
