hitId,queryNum,topicNum,subQueryNum,workerId
"1","35_1","35","1","me"
"2","35_1","35","1","me"
"2","35_1","35","1","me"
"3","35_1","35","1","me"
"1","31_1","31","1","me"
"3","35_1","35","1","me"
"4","35_1","35","1","me"
"4","35_1","35","1","me"
"5","35_1","35","1","me"
"5","35_1","35","1","me"
"5","35_1","35","1","me"
"6","35_1","35","1","me"
"7","35_1","35","1","me"
"8","35_1","35","1","me"
"9","35_1","35","1","me"
